Company Name,Symbol,Sector,Dividend
Canada Carbon Inc.,CCB.V,Basic Materials,0
Cedarmont Capital Corp.,CCCA.P.V,sector not available!,0
C3 Metals Inc.,CCCM.V,Basic Materials,0
Cascadero Copper Corporation,CCD.V,Basic Materials,0
Commerce Resources Corp.,CCE.V,Basic Materials,0
Cuspis Capital II Ltd.,CCII.P.V,sector not available!,0
Canada Silver Cobalt Works Inc.,CCW.V,Basic Materials,0
Cantex Mine Development Corp.,CD.V,Basic Materials,0
Canuc Resources Corporation,CDA.V,Energy,0
Cordoba Minerals Corp.,CDB.V,Basic Materials,0
Cadillac Ventures Inc.,CDC.V,Basic Materials,0
Cardero Resource Corp.,CDU.V,Basic Materials,0
Cloud DX Inc.,CDX.V,Healthcare,0
CE Brands Inc,CEBI.V,Financial Services,0
Constantine Metal Resources Ltd.,CEM.V,Basic Materials,0
Claren Energy Corp.,CEN.V,Energy,0
Cliffside Capital Ltd.,CEP.V,Financial Services,0
Cerrado Gold Inc.,CERT.V,Basic Materials,0
CF Energy Corp.,CFY.V,Utilities,0.076
Carlin Gold Corporation,CGD.V,Basic Materials,0
Cornerstone Capital Resources Inc.,CGP.V,Basic Materials,0
China Education Resources Inc.,CHN.V,Consumer Defensive,0
Cypress Hills Resource Corp,CHY.V,Energy,0
Central Iron Ore Limited,CIO.V,Basic Materials,0
Chesapeake Gold Corp.,CKG.V,Basic Materials,0
Cordy Oilfield Services Inc.,CKK.V,Industrials,0
Claritas Pharmaceuticals Inc.,CLAS.V,Healthcare,0
Clearford Water Systems Inc.,CLI.V,Industrials,0
Canoe Mining Ventures Corp.,CLV.V,Basic Materials,0
Canasil Resources Inc.,CLZ.V,Basic Materials,0
CMC Metals Ltd.,CMB.V,Basic Materials,0
Cielo Waste Solutions Corp.,CMC.V,sector not available!,0
Commander Resources Ltd.,CMD.V,Basic Materials,0.08
C-COM Satellite Systems Inc.,CMI.V,Technology,0.052
Capella Minerals Limited,CMIL.V,Basic Materials,0
Canickel Mining Limited,CML.V,Basic Materials,1.2
Comet Industries Ltd.,CMU.V,Basic Materials,0.72
Condor Resources Inc,CN.V,Basic Materials,0
Canada Nickel Company Inc.,CNC.V,Basic Materials,0
Collective Mining Ltd.,CNL.V,Basic Materials,0
California Nanotechnologies Corp,CNO.V,Basic Materials,0
Contagious Gaming Inc.,CNS.V,Communication Services,12.32
Callinex Mines Inc.,CNX.V,Basic Materials,0
Cobalt Blockchain Inc.,COBC.V,Basic Materials,0
Collingwood Resources Corp.,COLL.P.V,sector not available!,0
Canada One Mining Corp.,CONE.V,Basic Materials,0
NatureBank Asset Management Inc.,COO.V,Financial Services,0
Camino Minerals Corporation,COR.V,Basic Materials,0
Covalon Technologies Ltd.,COV.V,Healthcare,0
Copaur Minerals Inc.,CPAU.V,Basic Materials,0
Column Capital Corp.,CPC.P.V,sector not available!,0
Copper Lake Resources Ltd.,CPL.V,Basic Materials,0
Allied Copper Corp.,CPR.V,Basic Materials,0
Canadian Premium Sand Inc.,CPS.V,Basic Materials,0
Conquest Resources Ltd.,CQR.V,Basic Materials,0
Cranstown Capital Corp.,CRAN.P.V,sector not available!,0
Cariboo Rose Resources Ltd,CRB.V,Basic Materials,0
Carebook Technologies Inc.,CRBK.V,Healthcare,0
Critical Elements Lithium Corporation,CRE.V,Basic Materials,0
Churchill Resources Inc.,CRI.V,Basic Materials,0
Stormcrow Holdings Corp.,CROW.P.V,sector not available!,0
Cortus Metals Inc.,CRTS.V,Basic Materials,0
Cresval Capital Corp.,CRV.V,Basic Materials,0
Citizen Stash Cannabis Corp.,CSC.V,Healthcare,0
Comstock Metals Ltd.,CSL.V,Basic Materials,0
Corsa Coal Corp.,CSO.V,Basic Materials,0
CANSO SELECT OPPORTUNITIES CORP A,CSOC.A.V,sector not available!,0
CANSO SELECT OPPORTUNITIES CORP B,CSOC.B.V,sector not available!,0
Castlecap Capital Inc.,CSTL.P.V,sector not available!,0
Cryptostar Corp.,CSTR.V,Financial Services,0
Clean Seed Capital Group Ltd.,CSX.V,Industrials,0
Centaurus Energy Inc.,CTA.V,Energy,0
Canterra Minerals Corporation,CTM.V,Basic Materials,0
Centurion Minerals Ltd.,CTN.V,Basic Materials,0
Circa Enterprises Inc,CTO.V,Industrials,0.24
County Capital 2 Ltd.,CTWO.P.V,sector not available!,0
Namsys Inc.,CTZ.V,Technology,0
Cuda Oil and Gas Inc.,CUDA.V,Energy,0
Currie Rose Resources Inc.,CUI.V,Basic Materials,0
Consolidated Uranium Inc.,CUR.V,Basic Materials,0
Cornish Metals Inc.,CUSN.V,Basic Materials,0
Copper Fox Metals Inc.,CUU.V,Basic Materials,0
Compass Gold Corporation,CVB.V,Basic Materials,0
Compass Venture Inc.,CVI.P.V,sector not available!,0
CVR Medical Corp.,CVM.V,Healthcare,0
Canalaska Uranium Ltd.,CVV.V,Basic Materials,0
Cematrix Corporation,CVX.V,Basic Materials,0
CWC Energy Services Corp.,CWC.V,Energy,0.012
