Company Name,Symbol,Sector,Dividend
Enerplus Corporation,ERF.TO,Energy,0.152
Ero Copper Corp. J,ERO.TO,Basic Materials,0
Invesco S&P500ESG Un,ESG.TO,sector not available!,0
BMO MSCI CA Leadr Un,ESGA.TO,sector not available!,0
BMO ESG CorpBnd CAD,ESGB.TO,sector not available!,0
Invesco S&PTSXComESG,ESGC.TO,sector not available!,0.652
BMO MSCI EAFE ESGLdr,ESGE.TO,sector not available!,0.84
BMO ESG US Corp Bond,ESGF.TO,sector not available!,0.88
BMO MSCI Glb ESG Ldr,ESGG.TO,sector not available!,0.6
BMO ESG HiYldUSBndCA,ESGH.TO,sector not available!,0
BMO MSCI US ESG Ldr,ESGY.TO,sector not available!,0.48
Ensign Engy Services,ESI.TO,Energy,0.24
Euro Sun Mining J,ESM.TO,Basic Materials,0
Essential Energy Ltd,ESN.TO,Energy,0.012
Evertz Technologies,ET.TO,Technology,0.72
Entree Resources J,ETG.TO,Basic Materials,0
Purpose EthrCA CurHg,ETHH.TO,sector not available!,0
Horizon GlbSustLdr A,ETHI.TO,sector not available!,0.456
3iQ CoinShr Ether Un,ETHQ.TO,sector not available!,0
Ether ETF CADenom UH,ETHR.TO,sector not available!,0
CI GalxyEthermCA UHG,ETHX-B.TO,Crypto,0
CI GalxyEthermUS UH,ETHX.U.TO,sector not available!,0
1st Tr Glb RskMngeUn,ETP.TO,sector not available!,0.54
Etrion Corporation J,ETX.TO,Utilities,0
1st TrAlphDEX EU Div,EUR.TO,sector not available!,0.66
Economic Investment,EVT.TO,,1.2
Extendicare Inc.,EXE.TO,Healthcare,0.48
Excellon Resources J,EXN.TO,Basic Materials,0
Exro Tech Inc. J,EXRO.TO,Industrials,0
Fire & Flower Hldg J,FAF.TO,Healthcare,0
CI Actv Util&Infras,FAI.TO,sector not available!,0.528
CI Active Credit Un,FAO.TO,sector not available!,0.54
Aberdeen Asia-Pacifc,FAP.TO,Financial Services,0.27
Foraco Int'l SA,FAR.TO,Basic Materials,0.66
Frankln BrandyIncmOp,FBGO.TO,sector not available!,0
1st Tr NYSE Arca Bio,FBT.TO,sector not available!,0
Firm Cap Mtg Invest,FC.TO,Financial Services,0.936
Fidelity CdnBndIdxUn,FCCB.TO,sector not available!,0.48576
Fidelity Cdn Div L,FCCD.TO,sector not available!,0.6
Fidelity CdnLwVol L,FCCL.TO,sector not available!,0.89052
Fidelity CA Moment L,FCCM.TO,sector not available!,0
FidelityCdnHiQual L,FCCQ.TO,sector not available!,0.404
Fidelity CdnVal L Un,FCCV.TO,sector not available!,0.304
Fidelity GlbCore+Bnd,FCGB.TO,sector not available!,0.564
Fidelity GlbMoIncm L,FCGI.TO,sector not available!,0
FidelityUS CurNeuBnd,FCHH.TO,sector not available!,1.356
FidelitySysUS YldBnd,FCHY.TO,sector not available!,1.35012
Fidelity Int'l Div L,FCID.TO,sector not available!,1.272
FidelityGlbInvestBnd,FCIG.TO,sector not available!,0
Frankln ClrBridgInfr,FCII.TO,sector not available!,0
Fidelity IntlLwVol L,FCIL.TO,sector not available!,0
Fidelity IntlMomnt L,FCIM.TO,sector not available!,0
Fidelity IntlHiQual,FCIQ.TO,sector not available!,0
Fidelity Intl Val L,FCIV.TO,sector not available!,0
FidelityUS LowVolCur,FCLH.TO,sector not available!,0.30116
